"Month","County","Ozone","PM2.5"
9,"Durham",38.3076923076923,30.9848484848485
9,"Edgecombe",33.7708333333333,29.3695652173913
9,"Forsyth",41.6722222222222,35.9794520547945
9,"Guilford",42.74,31.2941176470588
9,"Haywood",38.4191616766467,15.4
9,"Johnston",36.7708333333333,37.1086956521739
9,"Mecklenburg",48.787037037037,39.9473684210526
9,"Montgomery",34.448275862069,33.804347826087
9,"New Hanover",32.5454545454545,7.58064516129032
9,"Pitt",35.3571428571429,29.1836734693878
9,"Swain",30.5546218487395,31.6666666666667
9,"Wake",38.2962962962963,37.2777777777778
10,"Avery",35.017094017094,14.2
10,"Buncombe",32.0491803278689,17.8194444444444
10,"Cumberland",34.2105263157895,28.3061224489796
10,"Durham",32.3064516129032,25.4626865671642
10,"Edgecombe",32.2786885245902,22.0322580645161
